rn_path,name,type,status,note,reviewer,reviewed_at
wagerproof-mobile/app/(drawer)/(tabs)/feature-requests.tsx,feature-requests,screen,candidate,B09 ported to Features/FeatureRequests/FeatureRequestsView.swift; fidelity table at docs/wagerproof-migration/fidelity/b09-feature-requests.md,,
wagerproof-mobile/app/(drawer)/(tabs)/scoreboard.tsx,scoreboard,screen,reviewed,B07 reviewer PASS — 3 ⚠️ waivers tracked (#009 #010 #011),b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/LiveScoreCard.tsx,LiveScoreCard,component,reviewed,B07 reviewer PASS,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/LiveScoreCardShimmer.tsx,LiveScoreCardShimmer,component,reviewed,B07 reviewer PASS,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/LiveScorePredictionCard.tsx,LiveScorePredictionCard,component,reviewed,B07 reviewer PASS; team colors ticket #008 still open,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/LiveScoreDetailModal.tsx,LiveScoreDetailModal,sheet,reviewed,B07 reviewer PASS — native .sheet with .presentationDetents,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/services/liveScoresService.ts,liveScoresService,service,reviewed,B07 reviewer PASS — backend byte-identical,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/hooks/useLiveScores.ts,useLiveScores,hook,reviewed,B07 reviewer PASS — ported to LiveScoresStore,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/types/liveScores.ts,liveScores,type,reviewed,B07 reviewer PASS — ported to WagerproofModels/LiveScore.swift,b07-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(drawer)/(tabs)/feature-requests.tsx,feature-requests,screen,reviewed,b09-reviewer-2026-05-20 signoff,b09-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(auth)/_layout.tsx,(auth)/_layout,layout,reviewed,B01 reviewer PASS — ported to Features/Auth/AuthRouter.swift,b01-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(auth)/login.tsx,login,screen,reviewed,B01 reviewer PASS — waivers #001 #002 #003 tracked,b01-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(auth)/email-login.tsx,email-login,screen,reviewed,B01 reviewer PASS — waiver #004 tracked,b01-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(auth)/signup.tsx,signup,screen,reviewed,B01 reviewer PASS — waiver #004 tracked,b01-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(auth)/forgot-password.tsx,forgot-password,screen,reviewed,B01 reviewer PASS — waiver #004 tracked,b01-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/contexts/AuthContext.tsx,AuthContext,store (context),reviewed,B01 reviewer PASS — extended AuthStore with signInWithApple/signInWithGoogle,b01-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(drawer)/(tabs)/picks.tsx,picks,screen,candidate,B05 ported to Features/Picks/PicksView.swift; waivers #008 #014 #015 #016; fidelity table at docs/wagerproof-migration/fidelity/b05-picks.md,,
wagerproof-mobile/components/EditorPickCard.tsx,EditorPickCard,component,candidate,B05 ported to Features/Picks/Components/EditorPickCard.swift,,
wagerproof-mobile/components/CompactPickCard.tsx,CompactPickCard,component,candidate,B05 ported to Features/Picks/Components/CompactPickCard.swift,,
wagerproof-mobile/components/LockedPickCard.tsx,LockedPickCard,component,candidate,B05 ported to Features/Picks/Components/LockedPickCard.swift; paywall presenter wires in B08,,
wagerproof-mobile/components/PickCardErrorBoundary.tsx,PickCardErrorBoundary,component,candidate,B05 ported to Features/Picks/Components/PickCardErrorBoundary.swift; shape-invariant guard (SwiftUI views don't throw),,
wagerproof-mobile/components/PickDetailBottomSheet.tsx,PickDetailBottomSheet,sheet,candidate,B05 ported to Features/Picks/Sheets/PickDetailBottomSheet.swift,,
wagerproof-mobile/components/EditorPickCreatorBottomSheet.tsx,EditorPickCreatorBottomSheet,sheet,candidate,B05 ported to Features/EditorPicks/Sheets/EditorPickCreatorBottomSheet.swift; waiver #014 for game-picker,,
wagerproof-mobile/components/EditorPicksStatsBanner.tsx,EditorPicksStatsBanner,component,candidate,B05 ported to Features/EditorPicks/Components/EditorPicksStatsBanner.swift; editor-picks-stats route push deferred to B16,,
wagerproof-mobile/contexts/EditorPickSheetContext.tsx,EditorPickSheetContext,store (context),candidate,B05 ported to WagerproofStores/PickDetailSheetStore.swift (EditorPickSheetStore),,
wagerproof-mobile/contexts/PickDetailSheetContext.tsx,PickDetailSheetContext,store (context),candidate,B05 ported to WagerproofStores/PickDetailSheetStore.swift,,
wagerproof-mobile/types/editorsPicks.ts,editorsPicks,type,candidate,B05 ported to WagerproofModels/EditorPick.swift,,
wagerproof-mobile/utils/unitsCalculation.ts,unitsCalculation,util,candidate,B05 ported to WagerproofModels/UnitsCalculation.swift,,
wagerproof-mobile/app/(drawer)/(tabs)/picks.tsx,picks,screen,reviewed,B05 reviewer PASS — waivers #008 #012 #013 #014 #015 #016,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/EditorPickCard.tsx,EditorPickCard,component,reviewed,B05 reviewer PASS,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/CompactPickCard.tsx,CompactPickCard,component,reviewed,B05 reviewer PASS,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/LockedPickCard.tsx,LockedPickCard,component,reviewed,B05 reviewer PASS — paywall presenter wires in B08,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/PickCardErrorBoundary.tsx,PickCardErrorBoundary,component,reviewed,B05 reviewer PASS — shape-invariant guard,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/PickDetailBottomSheet.tsx,PickDetailBottomSheet,sheet,reviewed,B05 reviewer PASS,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/EditorPickCreatorBottomSheet.tsx,EditorPickCreatorBottomSheet,sheet,reviewed,B05 reviewer PASS — waiver #014 for game-picker,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/EditorPicksStatsBanner.tsx,EditorPicksStatsBanner,component,reviewed,B05 reviewer PASS — waiver #013 for route push,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/contexts/EditorPickSheetContext.tsx,EditorPickSheetContext,store (context),reviewed,B05 reviewer PASS,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/contexts/PickDetailSheetContext.tsx,PickDetailSheetContext,store (context),reviewed,B05 reviewer PASS,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/types/editorsPicks.ts,editorsPicks,type,reviewed,B05 reviewer PASS,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/utils/unitsCalculation.ts,unitsCalculation,util,reviewed,B05 reviewer PASS — Formula B unit math byte-identical,b05-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(drawer)/(tabs)/roast.tsx,roast,screen,candidate,B19 ported to Features/Roast/RoastView.swift; reached from SideMenu (not bottom tab) per REBUILD_PLAN,,
wagerproof-mobile/components/roast/RoastScreen.tsx,RoastScreen,screen-component,candidate,B19 ported to Features/Roast/RoastView.swift,,
wagerproof-mobile/components/roast/RoastMicButton.tsx,RoastMicButton,component,candidate,B19 ported to Features/Roast/Components/RoastMicButtonView.swift,,
wagerproof-mobile/components/roast/RoastIntensitySelector.tsx,RoastIntensitySelector,component,candidate,B19 ported to Features/Roast/Components/RoastIntensitySelectorView.swift,,
wagerproof-mobile/hooks/useRoastSession.ts,useRoastSession,hook,candidate,B19 ported to WagerproofStores/RoastSessionStore.swift; driver protocol seam — Gemini Live + STT driver lands in follow-up,,
wagerproof-mobile/types/roast.ts,roast,type,candidate,B19 ported as nested types in WagerproofStores/RoastSessionStore.swift,,
wagerproof-mobile/app/(drawer)/(tabs)/outliers.tsx,outliers,screen,candidate,B06 ported to Features/Outliers/OutliersView.swift + OutliersDetailView.swift; waivers #021 #022 #023 #024 #019 #020; fidelity table at docs/wagerproof-migration/fidelity/b06-outliers.md,,
wagerproof-mobile/components/OutlierMatchupCard.tsx,OutlierMatchupCard,component,candidate,B06 ported to Features/Outliers/Components/OutlierMatchupCard.swift; team palette fallback tracked by waiver #024,,
wagerproof-mobile/components/OutliersHeroHeader.tsx,OutliersHeroHeader,component,candidate,B06 ported to Features/Outliers/Components/OutliersHeroHeader.swift,,
wagerproof-mobile/components/OutlierCardShimmer.tsx,OutlierCardShimmer,component,candidate,B06 ported to Features/Outliers/Components/OutlierCardShimmer.swift,,
wagerproof-mobile/components/ToolExplainerBanner.tsx,ToolExplainerBanner,component,candidate,B06 ported to Features/Outliers/Components/ToolExplainerBanner.swift,,
wagerproof-mobile/services/outliersService.ts,outliersService,service,candidate,B06 ported to WagerproofServices/OutliersService.swift; queries byte-identical,,
wagerproof-mobile/app/(onboarding)/_layout.tsx,(onboarding)/_layout,layout,candidate,B02 collapsed into RootView .onboarding branch + OnboardingView,,
wagerproof-mobile/app/(onboarding)/index.tsx,(onboarding)/index,screen,candidate,B02 ported to Features/Onboarding/OnboardingView.swift; fidelity table at docs/wagerproof-migration/fidelity/b02-onboarding.md,,
wagerproof-mobile/contexts/OnboardingContext.tsx,OnboardingContext,store (context),candidate,B02 extended WagerproofStores/OnboardingStore.swift; survey + agent draft + completion sync,,
wagerproof-mobile/components/OnboardingGuard.tsx,OnboardingGuard,component,candidate,B02 subsumed into RootRouter.resolve(authPhase:onboardingComplete:),,
wagerproof-mobile/components/PostOnboardingPaywall.tsx,PostOnboardingPaywall,component,candidate,B02 ported as placeholder; RevenueCat paywall waivered #026,,
wagerproof-mobile/components/onboarding/ProgressIndicator.tsx,ProgressIndicator,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingProgressIndicator.swift,,
wagerproof-mobile/components/onboarding/onboardingStyles.ts,onboardingStyles,constant,candidate,B02 ported as OnboardingCTAButton + OnboardingBottomBar in Components/OnboardingCTA.swift,,
wagerproof-mobile/components/onboarding/steps/Step1_PersonalizationIntro.tsx,Step1_PersonalizationIntro,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingPersonalizationIntroView.swift; waiver #029 Lottie,,
wagerproof-mobile/components/onboarding/steps/Step1b_TermsAcceptance.tsx,Step1b_TermsAcceptance,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingTermsView.swift,,
wagerproof-mobile/components/onboarding/steps/Step2_SportsSelection.tsx,Step2_SportsSelection,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingSportsView.swift,,
wagerproof-mobile/components/onboarding/steps/Step3_AgeConfirmation.tsx,Step3_AgeConfirmation,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAgeView.swift,,
wagerproof-mobile/components/onboarding/steps/Step4_BettorType.tsx,Step4_BettorType,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingBettorTypeView.swift,,
wagerproof-mobile/components/onboarding/steps/Step5_PrimaryGoal.tsx,Step5_PrimaryGoal,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingPrimaryGoalView.swift,,
wagerproof-mobile/components/onboarding/steps/Step6_FeatureSpotlight.tsx,Step6_FeatureSpotlight,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingFeatureSpotlightView.swift; waiver #028 multi-phase tutorial,,
wagerproof-mobile/components/onboarding/steps/Step10_ValueClaim.tsx,Step10_ValueClaim,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingValueClaimView.swift,,
wagerproof-mobile/components/onboarding/steps/Step13_AcquisitionSource.tsx,Step13_AcquisitionSource,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAcquisitionView.swift,,
wagerproof-mobile/components/onboarding/steps/Step14_DataTransparency.tsx,Step14_DataTransparency,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingDataTransparencyView.swift; ATTrackingManager wired,,
wagerproof-mobile/components/onboarding/steps/AgentValue1_247.tsx,AgentValue1_247,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAgentValueViews.swift; PixelOffice waivered #001,,
wagerproof-mobile/components/onboarding/steps/AgentValue2_VirtualAssistant.tsx,AgentValue2_VirtualAssistant,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAgentValueViews.swift,,
wagerproof-mobile/components/onboarding/steps/AgentValue3_MultipleStrategies.tsx,AgentValue3_MultipleStrategies,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAgentValueViews.swift,,
wagerproof-mobile/components/onboarding/steps/AgentValue4_Leaderboard.tsx,AgentValue4_Leaderboard,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAgentValueViews.swift,,
wagerproof-mobile/components/onboarding/steps/AgentValueScreen.tsx,AgentValueScreen,component,candidate,B02 collapsed into AgentValueScaffold inside OnboardingAgentValueViews.swift,,
wagerproof-mobile/components/onboarding/steps/OnboardingAgentBuilder.tsx,OnboardingAgentBuilder,component,candidate,B02 ported to Features/Onboarding/Components/OnboardingAgentBuilderView.swift; waiver #025 personality/conditions/insights deferred to B14,,
wagerproof-mobile/components/onboarding/steps/StepAgentGeneration.tsx,StepAgentGeneration,component,candidate,B02 ported to Features/Onboarding/Components/AgentGenerationView.swift; Lottie planets → PhaseAnimator brain,,
wagerproof-mobile/components/onboarding/steps/StepAgentBorn.tsx,StepAgentBorn,component,candidate,B02 ported to Features/Onboarding/Components/AgentBornView.swift; waiver #026 confetti + feedback modal,,
wagerproof-mobile/app/(drawer)/(tabs)/outliers.tsx,outliers,screen,reviewed,B06 reviewer PASS — waivers #019 #020 #021 #022 #023 #024 #062; follow-ups: parity screenshots + .searchable + ticket body cleanup in next polish pass,b06-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/OutlierMatchupCard.tsx,OutlierMatchupCard,component,reviewed,B06 reviewer PASS — team palette waiver #024,b06-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/OutliersHeroHeader.tsx,OutliersHeroHeader,component,reviewed,B06 reviewer PASS,b06-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/OutlierCardShimmer.tsx,OutlierCardShimmer,component,reviewed,B06 reviewer PASS — RN-faithful pulse loop,b06-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/ToolExplainerBanner.tsx,ToolExplainerBanner,component,reviewed,B06 reviewer PASS,b06-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/services/outliersService.ts,outliersService,service,reviewed,B06 reviewer PASS — backend byte-identical,b06-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(onboarding)/_layout.tsx,(onboarding)/_layout,layout,reviewed,b02 — collapsed into RootView .onboarding,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(onboarding)/index.tsx,(onboarding)/index,screen,reviewed,b02 — Features/Onboarding/OnboardingView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/contexts/OnboardingContext.tsx,OnboardingContext,store (context),reviewed,b02 — WagerproofStores/OnboardingStore.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/OnboardingGuard.tsx,OnboardingGuard,component,reviewed,b02 — subsumed into RootRouter,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/PostOnboardingPaywall.tsx,PostOnboardingPaywall,component,reviewed,b02 — placeholder; full RevenueCat #026,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/ProgressIndicator.tsx,ProgressIndicator,component,reviewed,b02 — OnboardingProgressIndicator.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/onboardingStyles.ts,onboardingStyles,constant,reviewed,b02 — OnboardingCTA.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step1_PersonalizationIntro.tsx,Step1_PersonalizationIntro,component,reviewed,b02 — OnboardingPersonalizationIntroView.swift; #029,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step1b_TermsAcceptance.tsx,Step1b_TermsAcceptance,component,reviewed,b02 — OnboardingTermsView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step2_SportsSelection.tsx,Step2_SportsSelection,component,reviewed,b02 — OnboardingSportsView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step3_AgeConfirmation.tsx,Step3_AgeConfirmation,component,reviewed,b02 — OnboardingAgeView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step4_BettorType.tsx,Step4_BettorType,component,reviewed,b02 — OnboardingBettorTypeView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step5_PrimaryGoal.tsx,Step5_PrimaryGoal,component,reviewed,b02 — OnboardingPrimaryGoalView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step6_FeatureSpotlight.tsx,Step6_FeatureSpotlight,component,reviewed,b02 — OnboardingFeatureSpotlightView.swift; #028,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step10_ValueClaim.tsx,Step10_ValueClaim,component,reviewed,b02 — OnboardingValueClaimView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step13_AcquisitionSource.tsx,Step13_AcquisitionSource,component,reviewed,b02 — OnboardingAcquisitionView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/Step14_DataTransparency.tsx,Step14_DataTransparency,component,reviewed,b02 — OnboardingDataTransparencyView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/AgentValue1_247.tsx,AgentValue1_247,component,reviewed,b02 — OnboardingAgentValueViews.swift; PixelOffice #001,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/AgentValue2_VirtualAssistant.tsx,AgentValue2_VirtualAssistant,component,reviewed,b02 — OnboardingAgentValueViews.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/AgentValue3_MultipleStrategies.tsx,AgentValue3_MultipleStrategies,component,reviewed,b02 — OnboardingAgentValueViews.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/AgentValue4_Leaderboard.tsx,AgentValue4_Leaderboard,component,reviewed,b02 — OnboardingAgentValueViews.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/AgentValueScreen.tsx,AgentValueScreen,component,reviewed,b02 — AgentValueScaffold private subview,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/OnboardingAgentBuilder.tsx,OnboardingAgentBuilder,component,reviewed,b02 — OnboardingAgentBuilderView.swift; #025,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/StepAgentGeneration.tsx,StepAgentGeneration,component,reviewed,b02 — AgentGenerationView.swift,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/components/onboarding/steps/StepAgentBorn.tsx,StepAgentBorn,component,reviewed,b02 — AgentBornView.swift; #026,b02-reviewer-2026-05-20,2026-05-20
wagerproof-mobile/app/(drawer)/(tabs)/settings.tsx,settings,screen,candidate,B08 ported to Features/Settings/SettingsView.swift; waivers #050 #052,,
wagerproof-mobile/app/(drawer)/settings.tsx,settings (re-export),layout,candidate,B08 collapsed into tab routing,,
wagerproof-mobile/app/(modals)/_layout.tsx,(modals)/_layout,layout,candidate,B08 collapsed into SettingsView .sheet/.fullScreenCover,,
wagerproof-mobile/app/(modals)/delete-account.tsx,delete-account,screen,candidate,B08 ported to Features/Settings/DeleteAccountView.swift; waiver #054,,
wagerproof-mobile/app/(modals)/discord.tsx,discord,screen,candidate,B08 ported to Features/Settings/DiscordView.swift,,
wagerproof-mobile/app/(modals)/ios-widget.tsx,ios-widget,screen,candidate,B08 ported to Features/Settings/IosWidgetView.swift,,
wagerproof-mobile/app/(modals)/secret-settings.tsx,secret-settings,screen,candidate,B08 ported to Features/Settings/SecretSettingsView.swift; waivers #053 #055,,
wagerproof-mobile/components/RevenueCatPaywall.tsx,RevenueCatPaywall,component,candidate,B08 ported to Features/Paywall/RevenueCatPaywallView.swift; waiver #052,,
wagerproof-mobile/components/CustomerCenter.tsx,CustomerCenter,component,candidate,B08 ported to Features/Paywall/CustomerCenterView.swift,,
wagerproof-mobile/components/ProContentSection.tsx,ProContentSection,component,candidate,B08 ported to Features/Paywall/ProContentSection.swift,,
wagerproof-mobile/components/ProFeatureGate.tsx,ProFeatureGate,component,candidate,B08 ported to Features/Paywall/ProFeatureGate.swift,,
wagerproof-mobile/components/LockedGameCard.tsx,LockedGameCard,component,candidate,B08 ported to Features/Paywall/LockedGameCard.swift,,
wagerproof-mobile/components/LockedOverlay.tsx,LockedOverlay,component,candidate,B08 ported to Features/Paywall/LockedOverlay.swift,,
wagerproof-mobile/components/DeleteAccountBottomSheet.tsx,DeleteAccountBottomSheet,component,candidate,B08 ported to Features/Settings/Sheets/DeleteAccountBottomSheet.swift,,
wagerproof-mobile/components/ReviewRequestModal.tsx,ReviewRequestModal,component,candidate,B08 ported to Features/Settings/Sheets/ReviewRequestModal.swift,,
wagerproof-mobile/contexts/SettingsContext.tsx,SettingsContext,store (context),candidate,B08 ported to WagerproofStores/SettingsStore.swift,,
wagerproof-mobile/contexts/RevenueCatContext.tsx,RevenueCatContext,store (context),candidate,B08 ported to WagerproofStores/RevenueCatStore.swift,,
wagerproof-mobile/contexts/AdminModeContext.tsx,AdminModeContext,store (context),candidate,B08 ported to WagerproofStores/AdminModeStore.swift,,
wagerproof-mobile/services/revenuecat.ts,revenuecat,service,candidate,B08 ported to WagerproofServices/RevenueCatService.swift,,
wagerproof-mobile/services/notificationService.ts,notificationService,service,candidate,B08 ported to WagerproofServices/NotificationService.swift; waiver #051,,
wagerproof-mobile/hooks/useProAccess.ts,useProAccess,hook,candidate,B08 ported to WagerproofStores/ProAccessStore.swift,,
wagerproof-mobile/hooks/useIsAdmin.ts,useIsAdmin,hook,candidate,B08 ported into AdminModeStore.checkRole(for:),,
wagerproof-mobile/app/(drawer)/(tabs)/roast.tsx,roast,screen,reviewed,B19 reviewer PASS (re-review) — waiver #061 Gemini Live driver deferred,b19-reviewer-2026-05-20,2026-05-21
wagerproof-mobile/components/roast/RoastScreen.tsx,RoastScreen,component,reviewed,B19 reviewer PASS — RoastView.swift,b19-reviewer-2026-05-20,2026-05-21
wagerproof-mobile/components/roast/RoastMicButton.tsx,RoastMicButton,component,reviewed,B19 reviewer PASS — RoastMicButtonView.swift,b19-reviewer-2026-05-20,2026-05-21
wagerproof-mobile/components/roast/RoastIntensitySelector.tsx,RoastIntensitySelector,component,reviewed,B19 reviewer PASS — RoastIntensitySelectorView.swift,b19-reviewer-2026-05-20,2026-05-21
wagerproof-mobile/hooks/useRoastSession.ts,useRoastSession,hook,reviewed,B19 reviewer PASS — WagerproofStores/RoastSessionStore.swift (#061 driver deferred),b19-reviewer-2026-05-20,2026-05-21
wagerproof-mobile/types/roast.ts,roast,type,reviewed,B19 reviewer PASS,b19-reviewer-2026-05-20,2026-05-21
wagerproof-mobile/app/(drawer)/(tabs)/index.tsx,GamesView,screen,candidate,B04 ported; NFL+CFB cards real, NBA/NCAAB/MLB placeholder (#036/#030/#031); fidelity at docs/wagerproof-migration/fidelity/b04-games.md,,
wagerproof-mobile/components/NFLGameCard.tsx,NFLGameCard,component,candidate,B04 ported; team colors deferred to ticket #008,,
wagerproof-mobile/components/NFLGameBottomSheet.tsx,NFLGameBottomSheet,sheet,candidate,B04 ported; H2H data #032, line movement #033, fade tooltip #034,,
wagerproof-mobile/components/CFBGameCard.tsx,CFBGameCard,component,candidate,B04 ported; team colors deferred to ticket #008,,
wagerproof-mobile/components/CFBGameBottomSheet.tsx,CFBGameBottomSheet,sheet,candidate,B04 ported; line movement #033,,
