player,old_team,new_team,first_season_away,tier,how,note
Jerry Jeudy,DEN,CLE,2024,2,trade,"Payton traded him"
Josh Jacobs,LV,GB,2024,2,fa,"franchise tag year then let go"
Aaron Jones,GB,MIN,2024,1,release,"released by GB, signed with division rival"
Zach Ertz,PHI,ARI,2021,1,trade,"contract standoff, midseason trade"
Darren Waller,LV,NYG,2023,2,trade,""
Dalvin Cook,MIN,NYJ,2023,2,release,""
Ezekiel Elliott,DAL,NE,2023,2,release,""
Mac Jones,NE,JAX,2024,1,trade,"benched, traded"
DJ Moore,CAR,CHI,2023,2,trade,"traded in the #1 pick deal"
Brandin Cooks,HOU,DAL,2023,2,trade,""
A.J. Brown,TEN,PHI,2022,1,trade,"contract standoff, draft-day trade"
T.J. Hockenson,DET,MIN,2022,1,trade,"midseason trade within the division"
Jonathan Taylor,IND,IND,2023,1,holdout,"trade request and PUP standoff (stayed)"
Carson Wentz,PHI,IND,2021,1,trade,"benched for Hurts, forced trade"
Carson Wentz,IND,WAS,2022,1,trade,"IND dumped him after collapse"
Jimmy Garoppolo,SF,LV,2023,2,fa,""
Odell Beckham,CLE,LA,2021,1,release,"father's video, released midseason"
Kenny Pickett,PIT,PHI,2024,1,trade,"PIT moved on after 2 seasons"
Daniel Jones,NYG,IND,2025,1,release,"benched then released after big contract"
Jameis Winston,NO,CLE,2024,2,fa,""
Derek Carr,LV,NO,2023,1,release,"benched and released to avoid guarantees"
Nick Chubb,CLE,HOU,2025,2,fa,"franchise icon let go after injuries"
Najee Harris,PIT,LAC,2025,2,fa,"5th-year option declined"
Javonte Williams,DEN,DAL,2025,2,fa,""
D'Andre Swift,DET,PHI,2023,2,trade,"draft-weekend trade"
D'Andre Swift,PHI,CHI,2024,2,fa,""
Austin Ekeler,LAC,WAS,2024,1,fa,"trade request in 2023, let go"
Tony Pollard,DAL,TEN,2024,2,fa,""
Tyler Lockett,SEA,TEN,2025,2,release,""
Adam Thielen,MIN,CAR,2023,2,release,""
Adam Thielen,CAR,MIN,2025,2,trade,"traded back to MIN"
Evan Engram,JAX,DEN,2025,2,release,""
Jonnu Smith,MIA,PIT,2025,2,trade,""
Rashid Shaheed,NO,SEA,2025,2,trade,"midseason trade"
Jakobi Meyers,LV,JAX,2025,1,trade,"requested trade, moved midseason"
Mike Williams,LAC,NYJ,2024,2,release,""
Mike Williams,NYJ,PIT,2024,2,trade,"midseason trade"
Joshua Palmer,LAC,BUF,2025,2,fa,""
Elijah Moore,NYJ,CLE,2023,1,trade,"trade request, benched"
Marquise Brown,BAL,ARI,2022,1,trade,"asked out of BAL"
Marquise Brown,ARI,KC,2024,2,fa,""
JuJu Smith-Schuster,PIT,KC,2022,2,fa,""
Kareem Hunt,CLE,KC,2024,2,fa,"back to the team that cut him"
J.K. Dobbins,BAL,LAC,2024,2,fa,""
J.K. Dobbins,LAC,DEN,2025,2,fa,""
Gus Edwards,BAL,LAC,2024,2,fa,""
Raheem Mostert,MIA,LV,2025,2,release,""
Curtis Samuel,WAS,BUF,2024,2,fa,""
Darnell Mooney,CHI,ATL,2024,2,fa,""
Christian Kirk,JAX,HOU,2025,2,trade,""
Dalton Schultz,DAL,HOU,2023,2,fa,""
Jahan Dotson,WAS,PHI,2024,2,trade,"1st-round pick traded after 2 seasons"
Kadarius Toney,NYG,KC,2022,1,trade,"1st-round bust, traded midseason"
Noah Fant,DEN,SEA,2022,2,trade,"part of the Wilson trade"
Mike Gesicki,MIA,NE,2023,2,fa,""
Jordan Mason,SF,MIN,2025,2,trade,""
Nick Westbrook-Ikhine,TEN,MIA,2025,2,fa,""
Van Jefferson,LA,ATL,2023,2,trade,""
Hunter Renfrow,LV,CAR,2025,2,fa,""
Michael Gallup,DAL,LV,2025,2,fa,""
Josh Reynolds,DET,DEN,2024,2,fa,""
Joe Flacco,BAL,NYJ,2019,2,trade,""
Joe Flacco,CLE,IND,2024,2,fa,"Comeback Player of the Year, let go"
Joe Flacco,IND,CLE,2025,2,fa,"back to CLE"
Dyami Brown,WAS,JAX,2025,2,fa,""
Adonai Mitchell,IND,NYJ,2025,2,trade,"midseason trade"
Kenneth Gainwell,PHI,PIT,2025,2,fa,""
Tyler Boyd,CIN,TEN,2024,2,fa,""
Josh Allen,BUF,BUF,2018,0,none,"placeholder none"
Cam Akers,LA,MIN,2023,1,trade,"benched and traded"
Leonard Fournette,JAX,TB,2020,1,release,"released by JAX"
Le'Veon Bell,PIT,NYJ,2019,1,holdout,"sat out a full season"
Antonio Brown,PIT,LV,2019,1,trade,"forced out of PIT"
Jalen Ramsey,LA,MIA,2023,2,trade,""
Jalen Ramsey,MIA,PIT,2025,2,trade,""
Tua Tagovailoa,MIA,MIA,2025,0,none,"placeholder none"
Michael Pittman,IND,IND,2024,0,none,"placeholder none"
Kyle Pitts,ATL,ATL,2025,0,none,"placeholder none"
Trey Lance,SF,DAL,2023,1,trade,"#3 pick given up on"
Bryce Young,CAR,CAR,2024,0,none,"benched then reinstated (stayed)"
Zach Wilson,NYJ,DEN,2024,1,trade,"#2 pick traded for peanuts"
Zach Wilson,DEN,MIA,2025,2,fa,""
Jacoby Brissett,NE,ARI,2024,2,fa,""
Marcus Mariota,ATL,PHI,2023,2,fa,""
Jared Cook,NO,LAC,2021,2,fa,""
Tyler Higbee,LA,LA,2025,0,none,"placeholder none"
Hollywood Brown,KC,KC,2025,0,none,"placeholder none"
Rashee Rice,KC,KC,2025,0,none,"placeholder none"
Breece Hall,NYJ,NYJ,2025,0,none,"placeholder none"
Jaylen Waddle,MIA,MIA,2025,0,none,"placeholder none"
Chris Godwin,TB,TB,2025,0,none,"placeholder none"
Mike Evans,TB,TB,2025,0,none,"placeholder none"
